type,sec,sample
pred,292.234375,37406
pred,292.9453125,37497
pred,293.9921875,37631
pred,295.1796875,37783
pred,296.4765625,37949
pred,297.75,38112
pred,298.0390625,38149
pred,298.9375,38264
pred,300.0859375,38411
pred,301.21875,38556
pred,301.5078125,38593
pred,302.40625,38708
pred,303.625,38864
pred,304.828125,39018
pred,306.015625,39170
pred,307.2265625,39325
pred,308.4140625,39477
pred,309.5234375,39619
pred,310.6015625,39757
pred,311.859375,39918
pred,312.15625,39956
pred,313.1953125,40089
pred,314.46875,40252
pred,314.7578125,40289
pred,315.7421875,40415
pred,316.03125,40452
pred,316.9921875,40575
pred,317.2734375,40611
pred,318.1953125,40729
pred,319.3203125,40873
pred,319.609375,40910
pred,320.5546875,41031
pred,320.84375,41068
pred,321.8359375,41195
pred,322.125,41232
pred,323.1015625,41357
pred,323.390625,41394
pred,324.3828125,41521
pred,324.6640625,41557
pred,325.609375,41678
pred,326.8046875,41831
pred,328.0078125,41985
pred,329.2734375,42147
pred,330.6171875,42319
pred,331.9375,42488
pred,333.21875,42652
pred,334.5234375,42819
pred,335.7890625,42981
pred,337.03125,43140
pred,338.3203125,43305
pred,339.515625,43458
pred,340.6171875,43599
pred,341.609375,43726
pred,341.90625,43764
pred,342.5859375,43851
pred,344.078125,44042
pred,345.5,44224
pred,346.8046875,44391
pred,347.1015625,44429
pred,347.8671875,44527
pred,348.953125,44666
pred,349.25,44704
pred,350.0390625,44805
pred,350.3359375,44843
pred,351.109375,44942
pred,352.2578125,45089
pred,353.390625,45234
pred,354.484375,45374
pred,355.5078125,45505
pred,355.8046875,45543
pred,356.5234375,45635
pred,356.8046875,45671
pred,357.5625,45768
pred,357.859375,45806
pred,358.71875,45916
pred,359.984375,46078
pred,361.234375,46238
pred,361.5234375,46275
pred,362.484375,46398
pred,362.7734375,46435
pred,363.6640625,46549
pred,364.796875,46694
pred,365.8984375,46835
pred,366.953125,46970
pred,367.2421875,47007
pred,368.0234375,47107
pred,368.3125,47144
pred,369.140625,47250
pred,370.3046875,47399
pred,371.46875,47548
pred,372.5625,47688
pred,373.6328125,47825
pred,373.921875,47862
pred,374.6875,47960
pred,374.984375,47998
pred,375.7578125,48097
pred,376.0546875,48135
pred,376.8515625,48237
pred,378.0234375,48387
pred,379.2421875,48543
pred,380.5,48704
pred,380.796875,48742
pred,381.6953125,48857
pred,382.828125,49002
pred,383.921875,49142
pred,384.9921875,49279
pred,385.28125,49316
pred,386.1015625,49421
pred,386.390625,49458
pred,387.1640625,49557
pred,388.1875,49688
pred,389.2265625,49821
pred,389.515625,49858
pred,390.2734375,49955
pred,390.5625,49992
pred,391.3203125,50089
pred,392.5078125,50241
pred,393.453125,50362
pred,394.4296875,50487
pred,394.71875,50524
pred,395.7578125,50657
pred,396.890625,50802
pred,397.984375,50942
pred,399.046875,51078
pred,400.0703125,51209
pred,400.3515625,51245
pred,401.09375,51340
pred,401.3828125,51377
pred,402.1484375,51475
pred,403.3046875,51623
pred,404.6171875,51791
pred,405.921875,51958
pred,406.2109375,51995
pred,407.1328125,52113
pred,408.296875,52262
pred,409.4609375,52411
pred,410.6015625,52557
pred,411.75,52704
pred,412.90625,52852
pred,414.015625,52994
pred,415.125,53136
pred,415.4140625,53173
pred,416.2109375,53275
pred,416.5,53312
pred,417.3125,53416
pred,418.5390625,53573
pred,419.828125,53738
pred,420.125,53776
pred,421.0703125,53897
pred,421.3671875,53935
pred,422.296875,54054
pred,422.5859375,54091
pred,423.5,54208
pred,424.6796875,54359
pred,425.859375,54510
pred,427.0625,54664
pred,428.296875,54822
